b'Date,Open,High,Low,Close,Volume,Adj Close
2016-07-18,38.50,38.50,38.48,38.48,2100,38.48
2016-07-15,38.490002,38.490002,38.490002,38.490002,000,38.490002
2016-07-14,38.490002,38.490002,38.490002,38.490002,000,38.490002
2016-07-13,38.490002,38.490002,38.490002,38.490002,000,38.490002
2016-07-12,38.490002,38.490002,38.490002,38.490002,200,38.140001
2016-07-11,38.779999,38.790001,38.779999,38.790001,300,38.437272
2016-07-08,38.25,38.25,38.25,38.25,000,37.902182
2016-07-07,38.25,38.25,38.25,38.25,000,37.902182
2016-07-06,38.25,38.25,38.25,38.25,300,37.902182
2016-07-05,39.75,39.75,39.75,39.75,000,39.388542
2016-07-01,39.75,39.75,39.75,39.75,000,39.388542
2016-06-30,39.75,39.75,39.75,39.75,000,39.388542
2016-06-29,39.75,39.75,39.75,39.75,000,39.388542
2016-06-28,39.75,39.75,39.75,39.75,7400,39.388542
2016-06-27,38.27,38.75,38.099998,38.75,5300,38.397635
2016-06-24,38.009998,38.27,38.00,38.27,600,37.922
2016-06-23,38.27,38.27,38.27,38.27,000,37.922
2016-06-22,38.27,38.27,38.27,38.27,200,37.922
2016-06-21,38.009998,38.009998,38.009998,38.009998,000,37.664363
2016-06-20,38.259998,38.259998,38.009998,38.009998,1200,37.664363
2016-06-17,38.259998,38.259998,38.259998,38.259998,400,37.912089
2016-06-16,38.50,38.50,38.50,38.50,100,38.149909
2016-06-15,38.27,38.50,38.27,38.50,800,38.149909
2016-06-14,38.50,38.50,38.259998,38.259998,400,37.912089
2016-06-13,38.00,38.00,38.00,38.00,1100,37.654455
2016-06-10,38.00,38.00,38.00,38.00,000,37.654455
2016-06-09,38.00,38.00,38.00,38.00,700,37.654455
2016-06-08,38.00,38.00,38.00,38.00,000,37.654455
2016-06-07,38.00,38.00,38.00,38.00,700,37.654455
2016-06-06,37.799999,37.799999,37.080002,37.080002,1700,36.742823
2016-06-03,38.299999,38.299999,37.50,37.50,2000,37.159002
2016-06-02,38.119999,38.119999,38.119999,38.119999,000,37.773363
2016-06-01,38.110001,38.119999,38.110001,38.119999,2400,37.773363
2016-05-31,38.400002,38.400002,38.400002,38.400002,5100,38.050819
